sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
180,2025-09-27 23:27:32.485000+00:00,84452485,6.774823529411765,7132.211764705882,0.4790941176470588,-0.0056470588235297825,-0.386000000000001,0.37788235294117645,-0.34364705882352986,0.045264922352941175,0.10783195294117646,0.7439141411764706,0.14396625882352942,-1.161026917647059,1.037169411764706,53.95255176470586,-3.2136065882352938,-0.5712182352941166,,-0.9362470588235293,21.99210588235294,8663.595647058824,8813.665411764707,76.2164705882353,36.2,58.4,0.4139058823529412
181,2025-09-27 23:27:32.585000+00:00,84452585,6.736461538461539,7142.923076923077,0.47830769230769227,-2.0769230769230766,-5.194615384615385,-0.2592307692307692,-5.067692307692307,0.034187723076923075,0.10631392307692308,0.7476090000000001,0.7869423076923077,0.8510956153846154,1.0195146153846155,-15.350530769230769,0.7158547692307692,-7.416507692307691,,-0.20107692307692307,21.632153846153845,8664.266153846153,8814.326153846154,76.73076923076923,36.19230769230769,58.4,0.41730769230769227
182,2025-09-27 23:27:32.685000+00:00,84452685,6.701566265060241,7086.481927710844,0.5076867469879518,2.664578313253012,5.691204819277109,0.4912048192771084,5.70987951807229,0.04847470361445783,0.10395680722891566,0.8039335783132531,0.48481019277108434,0.8752237710843374,1.0016846987951809,-27.92080361445783,4.585173734939759,-52.019578313253014,,-1.951831325301205,22.325903614457832,8664.935662650601,8814.995662650601,75.63012048192772,36.1,58.4,0.4213855421686747
183,2025-09-27 23:27:32.785000+00:00,84452785,6.6740326086956525,7067.554347826087,0.5474239130434783,7.960760869565218,17.23608695652174,0.2105434782608695,17.006304347826088,0.02510204130434783,0.09657119130434783,0.9180083695652174,-0.22600306521739127,0.5006974130434783,1.0059701086956523,-26.117807608695653,0.35013913043478295,-38.27084239130435,,-3.905173913043478,23.02082608695652,8665.642391304349,8815.702391304349,74.8586956521739,36.1,58.4,0.423
184,2025-09-27 23:27:32.885000+00:00,84452885,6.676755319148937,7090.872340425532,0.5033510638297872,6.4993617021276595,14.215,-0.32351063829787235,14.044468085106383,-0.0394564,0.0838472,1.00672,-0.934089,-0.152026,1.01457,14.946,-4.32597,-17.0395,,-3.502074468085106,22.805414893617023,8666.292978723404,8816.352978723404,75.67446808510638,36.1,58.4,0.42343617021276597
185,2025-09-27 23:27:32.985000+00:00,84452985,6.681094117647059,7070.435294117647,0.5091176470588236,4.176941176470589,9.43764705882353,0.03352941176470586,9.238705882352942,-0.04373505882352941,0.08273534588235294,1.0063605882352942,-0.09329328235294099,-0.1469068705882353,1.0169697647058824,11.936744823529411,0.2881969411764711,2.6444317647058853,,-2.630776470588235,22.498270588235293,8666.951764705882,8817.011764705883,75.67882352941177,36.1,58.45529411764706,0.42510588235294117
186,2025-09-27 23:27:33.085000+00:00,84453085,6.666957894736842,7068.663157894737,0.5413578947368421,7.527368421052632,16.287368421052633,0.2617894736842105,16.240947368421054,-0.043728077894736844,0.0753735852631579,0.9802721263157894,0.40086643157894736,-0.30160155789473686,1.0175525263157894,7.875042210526315,-1.0468218947368424,23.569352631578948,,-3.7963999999999998,23.017042105263158,8667.618105263158,8817.678105263158,75.04315789473684,36.1,58.43473684210526,0.42665263157894734
187,2025-09-27 23:27:33.185000+00:00,84453185,6.685341176470589,7125.082352941176,0.5679176470588235,9.563058823529412,20.234235294117646,-0.015294117647058847,20.16964705882353,-0.028539380000000003,0.06865101529411764,0.9414144235294118,-0.12606563529411768,-0.4260637529411765,1.0184537647058824,-3.389081294117645,-5.363596588235294,18.85624705882353,,-4.561376470588235,23.406223529411765,8668.295058823529,8818.355058823528,75.03647058823529,36.1,58.47882352941176,0.427
188,2025-09-27 23:27:33.285000+00:00,84453285,6.756511111111111,7236.4,0.5502222222222223,9.851111111111111,20.644666666666666,-0.15466666666666667,20.436222222222224,-0.0416743,0.05775772,0.9067329777777778,0.11894875555555551,-1.2630583555555555,1.016821777777778,-7.609124444444444,2.091999333333333,15.12526888888889,,-4.732111111111111,23.715044444444445,8668.975777777778,8819.04488888889,75.46444444444444,36.00888888888889,58.5,0.427
189,2025-09-27 23:27:33.385000+00:00,84453385,6.826888888888889,7272.833333333333,0.5531111111111111,6.838055555555555,14.478333333333332,0.006111111111111123,14.373333333333331,-0.029237741666666664,0.05513011111111111,0.8802483611111112,-0.07317111111111113,0.023565638888888962,1.0123394444444445,-29.739309999999996,5.166750277777778,21.664502777777777,,-3.6625555555555556,23.507166666666667,8669.445277777779,8819.515277777778,75.30833333333334,36.0,58.5,0.427
190,2025-09-27 23:27:33.485000+00:00,84453485,6.869776470588236,7262.588235294118,0.5334117647058824,5.446235294117647,11.76364705882353,0.009647058823529411,11.627647058823529,-0.006866324705882354,0.05518235529411765,0.8455504823529412,-0.2913570588235294,-0.3950378000000001,1.0061703529411765,-14.7161454117647,2.2927395764705887,26.781630588235295,,-3.1704588235294118,23.299329411764706,8670.01317647059,8820.077529411765,75.31294117647059,36.0,58.5,0.42812941176470587
191,2025-09-27 23:27:33.585000+00:00,84453585,6.837639534883721,7187.325581395349,0.5489651162790699,4.261511627906977,9.46639534883721,0.013255813953488377,9.300348837209302,0.011225118023255813,0.058628849999999996,0.7980171511627907,0.4995126976744185,-0.46987688372093017,1.0029943023255814,11.291646395348838,2.905905627906977,1.444466976744181,,-2.7298953488372093,22.887906976744187,8670.738837209303,8820.798837209302,75.4,36.0,58.42674418604651,0.42973255813953487
192,2025-09-27 23:27:33.685000+00:00,84453685,6.766659574468084,7172.734042553191,0.5683723404255319,6.189255319148937,13.464148936170211,-0.18936170212765954,13.183085106382979,-0.03243694680851063,0.05040084574468085,0.7871322978723404,0.543179670212766,0.2563907872340425,0.9939924042553192,21.24247765957447,-9.549972446808512,5.176008510638296,,-3.3772659574468085,23.05962765957447,8671.409680851064,8821.469680851063,75.80957446808512,36.0,58.481914893617024,0.4308191489361702
